block_fips,block_name,town,county,town_fips
090093471001010,Block 1010,Prospect,New Haven,0900962290
090159011003003,Block 3003,Woodstock,Windham,0901588190
090035038001016,Block 1016,Hartford,Hartford,0900337070
090010906001024,Block 1024,Trumbull,Fairfield,0900177200
090010205003008,Block 3008,Stamford,Fairfield,0900173070
090034761001046,Block 1046,Windsor Locks,Hartford,0900387070
090158005006005,Block 6005,Windham,Windham,0901586790
090033301001035,Block 1035,Hartland,Hartford,0900337140
090091301022012,Block 2012,Seymour,New Haven,0900967610
090052611002019,Block 2019,Salisbury,Litchfield,0900566420
090117026001020,Block 1020,Groton,New London,0901134250
090012112003017,Block 3017,Danbury,Fairfield,0900118500
090052602002015,Block 2015,North Canaan,Litchfield,0900554030
090034736012007,Block 2007,Windsor,Hartford,0900387000
090010108002010,Block 2010,Greenwich,Fairfield,0900133620
090035204003006,Block 3006,Glastonbury,Hartford,0900331240
090091501001040,Block 1040,Milford,New Haven,0900947535
090117052003054,Block 3054,Stonington,New London,0901173770
090119901000011,Block 0011,New London,New London,0901152350
090019900000012,Block 0012,Westport,Fairfield,0900183500
090034662021040,Block 1040,Simsbury,Hartford,0900368940
090052611004048,Block 4048,Salisbury,Litchfield,0900566420
090052611004058,Block 4058,Salisbury,Litchfield,0900566420
090093472002020,Block 2020,Prospect,New Haven,0900962290
090116964001042,Block 1042,Norwich,New London,0901156270
090159001002052,Block 2052,Thompson,Windham,0901575870
090117029002023,Block 2023,Groton,New London,0901134250
090159025003014,Block 3014,Pomfret,Windham,0901561030
090138902012078,Block 2078,Union,Tolland,0901377830
090010113002011,Block 2011,Greenwich,Fairfield,0900133620
090034622011015,Block 1015,Avon,Hartford,0900302060
090138811003014,Block 3014,Mansfield,Tolland,0901344910
090138812001017,Block 1017,Mansfield,Tolland,0901344910
090052611002021,Block 2021,Salisbury,Litchfield,0900566420
090117029003010,Block 3010,Groton,New London,0901134250
090075901005018,Block 5018,Haddam,Middlesex,0900735230
090117028002023,Block 2023,Groton,New London,0901134250
090075951013055,Block 3055,East Haddam,Middlesex,0900722280
090034303012001,Block 2001,Southington,Hartford,0900370550
090019900000029,Block 0029,Greenwich,Fairfield,0900133620
090091509002022,Block 2022,Milford,New Haven,0900947535
090034602032010,Block 2010,Farmington,Hartford,0900327600
090010101022029,Block 2029,Greenwich,Fairfield,0900133620
090010110005005,Block 5005,Greenwich,Fairfield,0900133620
090159011003057,Block 3057,Woodstock,Windham,0901588190
